id,name,lat,lon,tags,rating,visit_duration_min,entry_fee,open_hour,close_hour
1,Bánh Canh Hoàng Ty,10.7917311,106.6915979,food;restaurant,4.9,90,0,10,22
2,Chùa Giác Vương,10.8607493,106.6214292,religious;culture,4.9,60,0,8,18
3,Công Viên Văn Hóa Láng Le Bàu Cò,10.7780338,106.5159583,park;nature;relaxation,4.9,45,0,8,18
4,Cầu Đi Bộ Số 7,10.7458291,106.6543332,entertainment;attraction,4.9,60,0,0,23
5,Lăng Lê Văn Duyệt,10.8030815,106.706623,history;landmark,4.9,60,0,8,18
6,Nhà Hàng Au Tresor,10.772698,106.7048299,food;restaurant,4.9,90,0,10,22
7,Nhà Hàng Crazy Buffalo,10.767375,106.6941425,food;restaurant,4.9,90,0,10,22
8,Nhà Hàng Honeymoon,10.7602951,106.6991702,food;restaurant,4.9,90,0,10,22
9,Nhà Hàng Hồ Tây,10.784324,106.697355,food;restaurant,4.9,90,0,10,22
10,Nhà Hàng Jaspas,10.778168,106.7037041,food;restaurant,4.9,90,0,10,22
11,Nhà Thờ Củ Chi,10.9689302,106.4864335,history;landmark,4.9,60,0,8,18
12,Quán Ăn Gia Đình,10.8029924,106.6995844,food;restaurant,4.9,90,0,10,22
13,Trung Tâm Mua Sắm Russian,10.7617399,106.6950862,shopping;modern,4.9,120,0,8,18
14,Tượng Đài Trần Văn Ơn,10.7767077,106.6994163,history;landmark,4.9,60,0,8,18
15,Bảo Tàng FITO,10.7762825,106.6719677,history;museum;culture,4.8,90,60000,8,18
16,Chợ Đêm Man Thiện,10.8500849,106.7963248,shopping;modern,4.8,120,0,8,18
17,Công Viên Sala,10.7712694,106.7250457,park;nature;relaxation,4.8,45,0,8,18
18,Công ty Sửa chữa & Mua bán Xe nâng Hoàng Gia tại Bình Dương,10.9230601,106.7686184,park;nature;relaxation,4.8,45,0,0,23
19,Công viên nội khu S2,10.8381351,106.8322977,park;nature;relaxation,4.8,45,0,8,18
20,Cửa Hàng Xôi Chè Bùi Thị Xuân,10.7675882,106.6863944,food;restaurant,4.8,90,0,10,22
21,Khu di tích Hố Lang,10.9571087,106.7493053,park;nature;relaxation,4.8,45,0,8,18
22,Khánh Vân Nam Viện Đạo Quán,10.7573682,106.6507522,religious;culture,4.8,60,0,8,18
23,Nhà Hàng Bờ Sông,10.789502,106.711158,food;restaurant,4.8,90,0,10,22
24,Quán Ăn 7777,10.8184173,106.7047992,food;restaurant,4.8,90,0,10,22
25,Tank 390,10.7781576,106.6955462,history;landmark,4.8,60,0,8,18
26,Vincom Quận 2,10.7882994,106.7657527,shopping;modern,4.8,120,0,8,18
27,アオザイ博物館入口,10.8115266,106.8515004,history;museum;culture,4.8,90,60000,8,18
28,Bia Tưởng Niệm Trận Đánh Tòa Đại Sứ Mỹ,10.7829668,106.7008278,history;landmark,4.7,60,0,8,18
29,Bảo Tàng Tư Nhân Đức Minh,10.8408403,106.765554,history;museum;culture,4.7,90,50000,8,18
30,Công viên Bình Phú,10.7435177,106.6310353,park;nature;relaxation,4.7,45,0,8,18
31,Công viên nội khu S1,10.8375246,106.8308003,park;nature;relaxation,4.7,45,0,8,18
32,Elephants Statue,10.7902787,106.6994063,entertainment;attraction,4.7,60,0,8,18
33,Entrance to Russian Clothes Market,10.7611115,106.6955947,entertainment;attraction,4.7,60,0,8,18
34,Euvipharm Pharmaceutical J.S.C,10.7967892,106.4917898,viewpoint;modern,4.7,60,0,8,18
35,Nghĩa Dũng Đài,10.8894284,106.8097193,history;landmark,4.7,60,0,8,18
36,Nhà Hàng Đồ Ăn Việt Nam Aroma,10.7684684,106.6938884,food;restaurant,4.7,90,0,10,22
37,Station Mall,10.8011701,106.7331602,shopping;modern,4.7,120,0,8,18
38,THÀNH PHỐ TÂN AN,10.5457337,106.405184,history;museum;culture,4.7,90,50000,8,18
39,Tân Cảng,10.8005534,106.7246028,food;restaurant,4.7,90,0,10,22
40,Tượng An Dương Vương,10.7598529,106.668921,history;landmark,4.7,60,0,8,18
41,Tượng Đài Tượng Niệm - Công Viên Văn Lang,10.7563781,106.6672711,history;landmark,4.7,60,0,8,18
